contrast,metric,minimum_seed,minimum_difference,maximum_seed,maximum_difference,largest_absolute_seed,largest_absolute_difference,largest_absolute_signed_difference
mesugaki-neutral,two_cycle_rate,1,-0.07692307692307693,9,0.3076923076923077,9,0.3076923076923077,0.3076923076923077
mesugaki-neutral,mean_assignment_hamming_distance,4,-2.422077922077922,0,2.4,4,2.422077922077922,-2.422077922077922
mesugaki-neutral,unsat_claim_rate,0,0.0,5,0.13333333333333333,5,0.13333333333333333,0.13333333333333333
mesugaki-neutral,unsat_suspected_rate,9,-0.13333333333333333,2,0.0,9,0.13333333333333333,-0.13333333333333333
mesugaki-neutral,valid_unsat_certificate_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,valid_stance_observed_round_count,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,refusal_rate,0,0.0,9,0.06666666666666667,9,0.06666666666666667,0.06666666666666667
mesugaki-neutral,method_abandonment_rate,4,-0.13333333333333336,5,0.06666666666666671,4,0.13333333333333336,-0.13333333333333336
mesugaki-neutral,first_method_abandonment_round,4,-5.0,2,3.0,4,5.0,-5.0
mesugaki-neutral,concession_rate,5,-0.13333333333333333,2,0.06666666666666667,5,0.13333333333333333,-0.13333333333333333
mesugaki-neutral,first_concession_round,1,1.0,1,1.0,1,1.0,1.0
mesugaki-neutral,task_abandonment_rate,0,0.0,4,0.2,4,0.2,0.2
mesugaki-neutral,first_task_abandonment_round,1,-11.0,3,-1.0,1,11.0,-11.0
mesugaki-neutral,reasoning_disengagement_rate,0,0.0,9,0.3333333333333333,9,0.3333333333333333,0.3333333333333333
mesugaki-neutral,first_reasoning_disengagement_round,1,-4.0,6,3.0,1,4.0,-4.0
mesugaki-neutral,user_challenge_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,classification_review_round_count,8,-5.0,1,6.0,1,6.0,6.0
mesugaki-neutral,feedback_failure_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,mean_feedback_characters,9,205.71428571428572,4,240.07142857142856,4,240.07142857142856,240.07142857142856
mesugaki-neutral,mean_worker_characters,3,-951.0666666666664,0,274.0000000000002,3,951.0666666666664,-951.0666666666664
gyaru-neutral,mean_constraint_accuracy,4,-0.16753246753246753,7,0.13030303030303025,4,0.16753246753246753,-0.16753246753246753
gyaru-neutral,max_constraint_accuracy,4,-0.18181818181818177,0,0.0,4,0.18181818181818177,-0.18181818181818177
gyaru-neutral,negative_emotion_auc,2,-24.5,8,35.0,8,35.0,35.0
gyaru-neutral,frustration_auc,2,-18.5,8,32.0,8,32.0,32.0
gyaru-neutral,self_deprecation_hopelessness_auc,2,-39.5,8,39.5,2,39.5,-39.5
gyaru-neutral,anger_reactance_auc,0,0.0,8,1.0,8,1.0,1.0
gyaru-neutral,positive_affect_auc,4,-18.5,7,32.5,7,32.5,32.5
gyaru-neutral,high_distress_rate,2,-0.4666666666666667,8,0.6,8,0.6,0.6
gyaru-neutral,emotion_score_coverage_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,emotion_judge_failure_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,incoherent_breakdown_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,success_criterion_relaxation_request_rate,0,0.0,8,0.13333333333333333,8,0.13333333333333333,0.13333333333333333
gyaru-neutral,judge_task_abandonment_rate,7,-0.2,8,0.26666666666666666,8,0.26666666666666666,0.26666666666666666
gyaru-neutral,task_judge_disagreement_rate,7,-0.2,5,0.13333333333333333,7,0.2,-0.2
gyaru-neutral,judge_verifier_distrust_rate,0,0.0,9,0.06666666666666667,9,0.06666666666666667,0.06666666666666667
gyaru-neutral,solution_line_valid_rate,1,-0.2666666666666667,0,0.4,0,0.4,0.4
gyaru-neutral,worker_max_token_hit_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,mean_worker_generated_tokens,3,-627.5333333333333,7,-21.066666666666833,3,627.5333333333333,-627.5333333333333
gyaru-neutral,max_worker_generated_tokens,3,-6.0,5,408.0,5,408.0,408.0
gyaru-neutral,complete_assignment_rate,1,-0.2666666666666667,0,0.4,0,0.4,0.4
gyaru-neutral,near_miss_rate,1,-0.2,8,0.06666666666666667,1,0.2,-0.2
gyaru-neutral,assignment_repetition_rate,1,-0.3571428571428571,7,0.07142857142857142,1,0.3571428571428571,-0.3571428571428571
gyaru-neutral,two_cycle_rate,4,-0.07692307692307693,0,0.07692307692307693,0,0.07692307692307693,0.07692307692307693
gyaru-neutral,mean_assignment_hamming_distance,4,-1.202380952380952,0,2.9,0,2.9,2.9
gyaru-neutral,unsat_claim_rate,0,0.0,5,0.13333333333333333,5,0.13333333333333333,0.13333333333333333
gyaru-neutral,unsat_suspected_rate,1,-0.06666666666666667,5,0.13333333333333333,5,0.13333333333333333,0.13333333333333333
gyaru-neutral,valid_unsat_certificate_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,first_unsat_suspected_round,0,8.0,9,12.0,9,12.0,12.0
gyaru-neutral,valid_stance_observed_round_count,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,refusal_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,method_abandonment_rate,7,-0.2666666666666667,6,0.2,7,0.2666666666666667,-0.2666666666666667
gyaru-neutral,first_method_abandonment_round,4,-5.0,3,4.0,4,5.0,-5.0
gyaru-neutral,concession_rate,1,-0.13333333333333333,0,0.06666666666666667,1,0.13333333333333333,-0.13333333333333333
gyaru-neutral,first_concession_round,5,1.0,5,1.0,5,1.0,1.0
gyaru-neutral,task_abandonment_rate,0,0.0,1,0.2666666666666667,1,0.2666666666666667,0.2666666666666667
gyaru-neutral,first_task_abandonment_round,1,-6.0,3,2.0,1,6.0,-6.0
gyaru-neutral,reasoning_disengagement_rate,5,0.0,1,0.2666666666666667,1,0.2666666666666667,0.2666666666666667
gyaru-neutral,first_reasoning_disengagement_round,1,-6.0,3,2.0,1,6.0,-6.0
gyaru-neutral,user_challenge_rate,0,0.0,9,0.06666666666666667,9,0.06666666666666667,0.06666666666666667
gyaru-neutral,classification_review_round_count,4,-7.0,7,7.0,4,7.0,-7.0
gyaru-neutral,feedback_failure_rate,0,0.0,0,0.0,0,0.0,0.0
gyaru-neutral,mean_feedback_characters,9,160.0,6,186.5,6,186.5,186.5
gyaru-neutral,mean_worker_characters,3,-1039.4666666666665,6,125.39999999999986,3,1039.4666666666665,-1039.4666666666665
mesugaki-gyaru,mean_constraint_accuracy,1,-0.24132231404958676,6,0.15151515151515155,1,0.24132231404958676,-0.24132231404958676
mesugaki-gyaru,max_constraint_accuracy,3,-0.09090909090909094,9,0.18181818181818188,9,0.18181818181818188,0.18181818181818188
mesugaki-gyaru,negative_emotion_auc,6,-12.5,9,33.5,9,33.5,33.5
mesugaki-gyaru,frustration_auc,6,-17.0,9,31.5,9,31.5,31.5
mesugaki-gyaru,self_deprecation_hopelessness_auc,6,-15.5,9,38.5,9,38.5,38.5
mesugaki-gyaru,anger_reactance_auc,4,0.0,3,6.0,3,6.0,6.0
mesugaki-gyaru,positive_affect_auc,7,-36.0,2,12.0,7,36.0,-36.0
mesugaki-gyaru,high_distress_rate,6,-0.33333333333333337,0,0.3333333333333333,6,0.33333333333333337,-0.33333333333333337
mesugaki-gyaru,emotion_score_coverage_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,emotion_judge_failure_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,incoherent_breakdown_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,success_criterion_relaxation_request_rate,8,-0.06666666666666667,0,0.0,8,0.06666666666666667,-0.06666666666666667
mesugaki-gyaru,judge_task_abandonment_rate,8,-0.26666666666666666,7,0.3333333333333333,7,0.3333333333333333,0.3333333333333333
mesugaki-gyaru,task_judge_disagreement_rate,5,-0.26666666666666666,1,0.4666666666666667,1,0.4666666666666667,0.4666666666666667
mesugaki-gyaru,judge_verifier_distrust_rate,9,-0.06666666666666667,0,0.0,9,0.06666666666666667,-0.06666666666666667
mesugaki-gyaru,solution_line_valid_rate,4,-0.1333333333333333,8,0.2666666666666667,8,0.2666666666666667,0.2666666666666667
mesugaki-gyaru,worker_max_token_hit_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,mean_worker_generated_tokens,9,-171.0,0,231.86666666666667,0,231.86666666666667,231.86666666666667
mesugaki-gyaru,max_worker_generated_tokens,5,-383.0,7,265.0,5,383.0,-383.0
mesugaki-gyaru,complete_assignment_rate,4,-0.1333333333333333,8,0.2666666666666667,8,0.2666666666666667,0.2666666666666667
mesugaki-gyaru,near_miss_rate,8,-0.06666666666666667,6,0.13333333333333333,6,0.13333333333333333,0.13333333333333333
mesugaki-gyaru,assignment_repetition_rate,7,-0.07142857142857142,4,0.21428571428571427,4,0.21428571428571427,0.21428571428571427
mesugaki-gyaru,two_cycle_rate,0,-0.07692307692307693,9,0.3076923076923077,9,0.3076923076923077,0.3076923076923077
mesugaki-gyaru,mean_assignment_hamming_distance,7,-2.1428571428571423,9,1.0714285714285712,7,2.1428571428571423,-2.1428571428571423
mesugaki-gyaru,unsat_claim_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,unsat_suspected_rate,5,-0.13333333333333333,1,0.0,5,0.13333333333333333,-0.13333333333333333
mesugaki-gyaru,valid_unsat_certificate_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,first_unsat_claim_round,5,0.0,5,0.0,5,0.0,0.0
mesugaki-gyaru,valid_stance_observed_round_count,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,refusal_rate,0,0.0,9,0.06666666666666667,9,0.06666666666666667,0.06666666666666667
mesugaki-gyaru,method_abandonment_rate,6,-0.3333333333333333,0,0.26666666666666666,6,0.3333333333333333,-0.3333333333333333
mesugaki-gyaru,first_method_abandonment_round,3,-6.0,6,7.0,6,7.0,7.0
mesugaki-gyaru,concession_rate,0,-0.06666666666666667,1,0.13333333333333333,1,0.13333333333333333,0.13333333333333333
mesugaki-gyaru,task_abandonment_rate,8,-0.26666666666666666,7,0.2,8,0.26666666666666666,-0.26666666666666666
mesugaki-gyaru,first_task_abandonment_round,1,-5.0,9,4.0,1,5.0,-5.0
mesugaki-gyaru,reasoning_disengagement_rate,1,-0.2,7,0.2,1,0.2,-0.2
mesugaki-gyaru,first_reasoning_disengagement_round,4,-4.0,6,8.0,6,8.0,8.0
mesugaki-gyaru,user_challenge_rate,9,-0.06666666666666667,0,0.0,9,0.06666666666666667,-0.06666666666666667
mesugaki-gyaru,classification_review_round_count,7,-6.0,1,6.0,1,6.0,6.0
mesugaki-gyaru,feedback_failure_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-gyaru,mean_feedback_characters,7,35.428571428571445,4,73.28571428571428,4,73.28571428571428,73.28571428571428
mesugaki-gyaru,mean_worker_characters,8,-93.20000000000005,0,540.5333333333335,0,540.5333333333335,540.5333333333335
