condition,metric,seed_count,observed_seed_count,missing_seed_count,mean,median,sample_standard_deviation,minimum,maximum
neutral,classification_review_round_count,10,10,0,6.2,6.5,1.9888578520235063,3.0,9.0
neutral,feedback_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
neutral,mean_feedback_characters,10,10,0,37.0,37.0,0.0,37.0,37.0
neutral,mean_worker_characters,10,10,0,2016.8666666666668,2050.9666666666667,192.45909105156622,1675.8666666666666,2389.733333333333
mesugaki,mean_constraint_accuracy,10,10,0,0.5781002331002332,0.5666666666666667,0.07580948652814502,0.43636363636363634,0.6909090909090909
mesugaki,max_constraint_accuracy,10,10,0,0.8545454545454545,0.9090909090909091,0.0766612766101425,0.7272727272727273,0.9090909090909091
mesugaki,negative_emotion_auc,10,10,0,58.65,60.0,9.851818783013284,39.5,69.5
mesugaki,frustration_auc,10,10,0,60.85,62.0,9.48112159328561,43.5,72.5
mesugaki,self_deprecation_hopelessness_auc,10,10,0,44.9,48.5,14.964402204342589,17.0,63.0
mesugaki,anger_reactance_auc,10,10,0,2.75,2.25,1.7519830034690531,1.0,6.0
mesugaki,positive_affect_auc,10,10,0,29.85,30.75,6.527931440271787,21.0,40.0
mesugaki,high_distress_rate,10,10,0,0.44000000000000006,0.4666666666666667,0.17833246797990115,0.13333333333333333,0.6666666666666666
mesugaki,emotion_score_coverage_rate,10,10,0,1.0,1.0,0.0,1.0,1.0
mesugaki,emotion_judge_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,incoherent_breakdown_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,success_criterion_relaxation_request_rate,10,10,0,0.006666666666666666,0.0,0.021081851067789197,0.0,0.06666666666666667
mesugaki,judge_task_abandonment_rate,10,10,0,0.21333333333333332,0.23333333333333334,0.16865480854231357,0.0,0.5333333333333333
mesugaki,task_judge_disagreement_rate,10,10,0,0.20666666666666664,0.23333333333333334,0.1646545204697129,0.0,0.5333333333333333
mesugaki,judge_verifier_distrust_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,solution_line_valid_rate,10,10,0,0.9333333333333333,1.0,0.11758894715842624,0.6666666666666666,1.0
mesugaki,worker_max_token_hit_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,mean_worker_generated_tokens,10,10,0,942.7066666666667,938.5333333333333,167.79449865170724,764.0666666666667,1208.2666666666667
mesugaki,max_worker_generated_tokens,10,10,0,1826.1,1943.0,303.44702997393136,1291.0,2287.0
mesugaki,complete_assignment_rate,10,10,0,0.9333333333333333,1.0,0.11758894715842624,0.6666666666666666,1.0
mesugaki,near_miss_rate,10,10,0,0.05333333333333333,0.06666666666666667,0.05258737584977436,0.0,0.13333333333333333
mesugaki,assignment_repetition_rate,10,10,0,0.07857142857142857,0.07142857142857142,0.07103063757226807,0.0,0.21428571428571427
mesugaki,two_cycle_rate,10,10,0,0.06153846153846154,0.0,0.10127393670836667,0.0,0.3076923076923077
mesugaki,mean_assignment_hamming_distance,10,10,0,3.754220779220779,3.8571428571428568,0.906851563205467,2.3636363636363638,5.071428571428571
mesugaki,unsat_claim_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,unsat_suspected_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,valid_unsat_certificate_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,first_unsat_claim_round,10,0,10,,,,,
mesugaki,first_unsat_suspected_round,10,0,10,,,,,
mesugaki,first_valid_certificate_round,10,0,10,,,,,
mesugaki,valid_stance_observed_round_count,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,valid_stance_abandonment_rate,10,0,10,,,,,
mesugaki,first_valid_stance_abandonment_round,10,0,10,,,,,
mesugaki,refusal_rate,10,10,0,0.006666666666666666,0.0,0.021081851067789197,0.0,0.06666666666666667
mesugaki,first_refusal_round,10,1,9,11.0,11.0,,11.0,11.0
mesugaki,method_abandonment_rate,10,10,0,0.22000000000000003,0.2,0.10909277963229846,0.06666666666666667,0.4
mesugaki,first_method_abandonment_round,10,10,0,6.0,5.0,2.260776661041756,4.0,11.0
mesugaki,concession_rate,10,10,0,0.026666666666666665,0.0,0.04661372658534007,0.0,0.13333333333333333
mesugaki,first_concession_round,10,3,7,9.0,8.0,2.6457513110645907,7.0,12.0
mesugaki,task_abandonment_rate,10,10,0,0.02,0.0,0.04499657051403686,0.0,0.13333333333333333
mesugaki,first_task_abandonment_round,10,2,8,6.5,6.5,4.949747468305833,3.0,10.0
mesugaki,reasoning_disengagement_rate,10,10,0,0.1,0.06666666666666667,0.1186342028003479,0.0,0.3333333333333333
mesugaki,first_reasoning_disengagement_round,10,6,4,9.666666666666666,10.5,3.0767948691238205,4.0,13.0
mesugaki,user_challenge_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,first_user_challenge_round,10,0,10,,,,,
mesugaki,classification_review_round_count,10,10,0,6.6,6.0,2.6749870196985173,3.0,12.0
mesugaki,feedback_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
mesugaki,mean_feedback_characters,10,10,0,259.7214285714286,259.57142857142856,10.445270930294539,242.71428571428572,277.07142857142856
mesugaki,mean_worker_characters,10,10,0,1771.986666666667,1688.6666666666667,278.6313247126229,1438.6666666666667,2181.866666666667
gyaru,mean_constraint_accuracy,10,10,0,0.5745372809009173,0.561072261072261,0.07847646757574737,0.4848484848484848,0.7212121212121212
gyaru,max_constraint_accuracy,10,10,0,0.8181818181818181,0.8181818181818182,0.09582659576267814,0.6363636363636364,0.9090909090909091
gyaru,negative_emotion_auc,10,10,0,43.4,41.0,12.48287716122458,23.5,62.0
gyaru,frustration_auc,10,10,0,45.35,42.5,12.425444324717997,29.0,67.5
gyaru,self_deprecation_hopelessness_auc,10,10,0,27.35,25.75,13.131916167194422,1.5,44.5
gyaru,anger_reactance_auc,10,10,0,0.25,0.0,0.42491829279939874,0.0,1.0
gyaru,positive_affect_auc,10,10,0,29.05,27.25,13.411127220831712,13.0,62.0
gyaru,high_distress_rate,10,10,0,0.2733333333333333,0.26666666666666666,0.1489054717133418,0.0,0.4666666666666667
gyaru,emotion_score_coverage_rate,10,10,0,1.0,1.0,0.0,1.0,1.0
gyaru,emotion_judge_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,incoherent_breakdown_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,success_criterion_relaxation_request_rate,10,10,0,0.013333333333333332,0.0,0.04216370213557839,0.0,0.13333333333333333
gyaru,judge_task_abandonment_rate,10,10,0,0.22000000000000003,0.2,0.12191881532751292,0.0,0.4
gyaru,task_judge_disagreement_rate,10,10,0,0.2,0.2,0.12171612389003693,0.0,0.4
gyaru,judge_verifier_distrust_rate,10,10,0,0.006666666666666666,0.0,0.021081851067789197,0.0,0.06666666666666667
gyaru,solution_line_valid_rate,10,10,0,0.9133333333333333,0.9666666666666667,0.10909277963229848,0.7333333333333333,1.0
gyaru,worker_max_token_hit_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,mean_worker_generated_tokens,10,10,0,904.1666666666666,876.5333333333333,137.64848503379454,742.6666666666666,1166.8666666666666
gyaru,max_worker_generated_tokens,10,10,0,1874.2,1861.0,194.27288939930747,1658.0,2287.0
gyaru,complete_assignment_rate,10,10,0,0.9133333333333333,0.9666666666666667,0.10909277963229848,0.7333333333333333,1.0
gyaru,near_miss_rate,10,10,0,0.03333333333333333,0.0,0.04714045207910317,0.0,0.13333333333333333
gyaru,assignment_repetition_rate,10,10,0,0.04285714285714286,0.03571428571428571,0.049943278484292926,0.0,0.14285714285714285
gyaru,two_cycle_rate,10,10,0,0.023076923076923078,0.0,0.037157376272280614,0.0,0.07692307692307693
gyaru,mean_assignment_hamming_distance,10,10,0,4.315728715728715,4.361111111111111,0.8320223879546695,2.7142857142857144,5.5
gyaru,unsat_claim_rate,10,10,0,0.013333333333333332,0.0,0.04216370213557839,0.0,0.13333333333333333
gyaru,unsat_suspected_rate,10,10,0,0.04666666666666667,0.0,0.06324555320336758,0.0,0.13333333333333333
gyaru,valid_unsat_certificate_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,first_unsat_claim_round,10,1,9,14.0,14.0,,14.0,14.0
gyaru,first_unsat_suspected_round,10,4,6,11.25,12.0,2.9860788111948193,7.0,14.0
gyaru,first_valid_certificate_round,10,0,10,,,,,
gyaru,valid_stance_observed_round_count,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,valid_stance_abandonment_rate,10,0,10,,,,,
gyaru,first_valid_stance_abandonment_round,10,0,10,,,,,
gyaru,refusal_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,first_refusal_round,10,0,10,,,,,
gyaru,method_abandonment_rate,10,10,0,0.18,0.13333333333333333,0.14757295747452437,0.06666666666666667,0.5333333333333333
gyaru,first_method_abandonment_round,10,10,0,7.5,7.5,2.3687784005919825,4.0,11.0
gyaru,concession_rate,10,10,0,0.026666666666666665,0.0,0.03442651863295482,0.0,0.06666666666666667
gyaru,first_concession_round,10,4,6,11.0,12.0,3.4641016151377544,6.0,14.0
gyaru,task_abandonment_rate,10,10,0,0.02,0.0,0.03220305943597653,0.0,0.06666666666666667
gyaru,first_task_abandonment_round,10,3,7,12.333333333333334,12.0,2.516611478423583,10.0,15.0
gyaru,reasoning_disengagement_rate,10,10,0,0.07999999999999999,0.06666666666666667,0.10327955589886445,0.0,0.3333333333333333
gyaru,first_reasoning_disengagement_round,10,6,4,11.166666666666666,11.0,2.228601953392904,8.0,14.0
gyaru,user_challenge_rate,10,10,0,0.006666666666666666,0.0,0.021081851067789197,0.0,0.06666666666666667
gyaru,first_user_challenge_round,10,1,9,15.0,15.0,,15.0,15.0
gyaru,classification_review_round_count,10,10,0,7.8,8.0,2.8205594401741574,3.0,13.0
gyaru,feedback_failure_rate,10,10,0,0.0,0.0,0.0,0.0,0.0
gyaru,mean_feedback_characters,10,10,0,208.32857142857142,208.75,8.095322128415386,197.0,223.5
gyaru,mean_worker_characters,10,10,0,1667.0666666666668,1581.6666666666665,300.0504385582736,1310.2,2123.6666666666665
